Date,SP500
01/1999,36490.600703452874
02/1999,35356.51889402275
03/1999,36771.07999102332
04/1999,38195.058212088734
05/1999,37293.13263043975
06/1999,39362.80256967938
07/1999,38133.7105775906
08/1999,37945.05349303993
09/1999,36904.82832100438
10/1999,39240.19119488413
11/1999,40037.878231761926
12/1999,42395.95546056868
01/2000,40265.88169659243
02/2000,39503.66093319715
03/2000,43368.24730332578
04/2000,42063.482741914166
05/2000,41200.46309598965
06/2000,42216.19116132645
07/2000,41556.174508327545
08/2000,44137.41031185571
09/2000,41807.2488784394
10/2000,41630.504770434
11/2000,38348.374864458434
12/2000,38536.06716569734
01/2001,39903.29095977063
02/2001,36264.84140849974
03/2001,33967.44066058294
04/2001,36607.06682802318
05/2001,36852.33152471418
06/2001,35955.397648026075
07/2001,35601.448013909656
08/2001,33372.73564308051
09/2001,30677.8022236158
10/2001,31262.796487349806
11/2001,33660.84930294406
12/2001,33955.737419540215
01/2002,33460.21632119734
02/2002,32814.92310047799
03/2002,34049.069718178405
04/2002,31984.748034254
05/2002,31749.110197130398
06/2002,29487.637140801737
07/2002,27188.936032769074
08/2002,27367.441918995955
09/2002,24393.16178367461
10/2002,26540.161202707266
11/2002,28102.292199307452
12/2002,26451.33821737407
01/2003,25758.41406402386
02/2003,25371.93445346074
03/2003,25618.268801214785
04/2003,27728.459639548564
05/2003,29189.39325616465
06/2003,29561.757667405633
07/2003,30082.971364811838
08/2003,30669.66448611656
09/2003,30343.966224194668
10/2003,32060.52547132811
11/2003,32342.598748717992
12/2003,34038.79267855308
01/2004,34663.57376712229
02/2004,35145.37816359789
03/2004,34615.16681313196
04/2004,34071.76309955515
05/2004,34539.326455407085
06/2004,35210.94148169743
07/2004,34045.56713528569
08/2004,34183.27946626509
09/2004,34553.50457537999
10/2004,35081.38786176752
11/2004,36500.835795977684
12/2004,37742.91041567479
01/2005,36822.926607255584
02/2005,37597.83636855562
03/2005,36932.051989236366
04/2005,36231.6193048946
05/2005,37384.451468253385
06/2005,37437.51455040049
07/2005,38829.75978992892
08/2005,38475.47457900841
09/2005,38787.09958870868
10/2005,38140.48503432322
11/2005,39583.04582091524
12/2005,39596.825443433285
01/2006,40645.25127361884
02/2006,40755.551174413944
03/2006,41262.85940800057
04/2006,41816.91768510731
05/2006,40613.37147723007
06/2006,40668.427046651464
07/2006,40919.291681260765
08/2006,41892.88388413372
09/2006,42972.47640999935
10/2006,44372.775492826
11/2006,45216.56239316599
12/2006,45850.84450000105
01/2007,46544.2720185574
02/2007,45633.915069705596
03/2007,46144.327388730075
04/2007,48188.304728906376
05/2007,49869.83814711267
06/2007,49041.340964909155
07/2007,47520.82149201642
08/2007,48233.16715290347
09/2007,50037.01831620143
10/2007,50832.943574857745
11/2007,48707.798595191605
12/2007,48369.8727534706
01/2008,45468.58057303934
02/2008,43991.49732272631
03/2008,43801.53987805978
04/2008,45934.82259522516
05/2008,46529.80026888091
06/2008,42607.15911164431
07/2008,42248.99379392647
08/2008,42860.121101279175
09/2008,39040.96344100455
10/2008,32484.128265843945
11/2008,30153.232758168673
12/2008,30474.065156431232
01/2009,27905.518350807797
02/2009,24934.216459622767
03/2009,27118.381009708657
04/2009,29713.857853860496
05/2009,31375.801976127907
06/2009,31438.093420387548
07/2009,33815.864812884465
08/2009,35036.73517327298
09/2009,36344.226296217836
10/2009,35669.08771348452
11/2009,37808.599575075874
12/2009,38538.89859498187
01/2010,37152.54692307531
02/2010,38303.36562560954
03/2010,40614.86059929823
04/2010,41256.02203061719
05/2010,37961.70649194301
06/2010,35974.46260520857
07/2010,38494.85413944475
08/2010,36757.195500754
09/2010,40037.45876075681
10/2010,41560.97745133612
11/2010,41566.220838900066
12/2010,44344.167570277124
01/2011,45395.15217359388
02/2011,46950.340925059405
03/2011,46969.007384787044
04/2011,48359.97323774988
05/2011,47812.563576074215
06/2011,47015.56866635486
07/2011,46059.59424569675
08/2011,43557.449700183104
09/2011,40495.52109834288
10/2011,44921.35967331598
11/2011,44822.15478060618
12/2011,45280.63658919736
01/2012,47309.82757644335
02/2012,49355.58766839139
03/2012,50979.77940019841
04/2012,50659.93275879788
05/2012,47615.202468167394
06/2012,49577.06835909235
07/2012,50265.63001398936
08/2012,51397.78225679595
09/2012,52726.03719449403
10/2012,51752.44499162107
11/2012,52052.57649578117
12/2012,52526.99820256674
01/2013,55247.68714174555
02/2013,55997.70129889197
03/2013,58097.78288600246
04/2013,59217.14126315305
05/2013,60602.23452204425
06/2013,59788.46077212026
07/2013,62830.883972222626
